Bhead	Btail	100.00	47	0	0	319	365	33448	33494	2e-21	93.7
Bhead	Btail	100.00	11	0	0	263	273	12103	12113	6.4	22.3
Bhead	Btail	100.00	11	0	0	349	359	16321	16331	6.4	22.3
Bhead	Btail	100.00	11	0	0	420	430	20344	20354	6.4	22.3
Bhead	Btail	100.00	11	0	0	411	421	22080	22090	6.4	22.3
Bhead	Btail	100.00	11	0	0	80	90	25589	25599	6.4	22.3
Bhead	Btail	100.00	11	0	0	449	459	32443	32453	6.4	22.3
Bhead	Btail	100.00	11	0	0	200	210	49517	49527	6.4	22.3
Bhead	Btail	100.00	11	0	0	413	423	50844	50854	6.4	22.3
Bhead	Btail	100.00	11	0	0	198	208	51412	51422	6.4	22.3
